source;target;weight
1;67;19.86
1;72;9.29
1;73;24.82
1;74;82.43
1;76;22.00
1;84;53.24
1;87;67.04
1;88;36.28
1;90;80.68
1;91;27.81
1;94;39.76
1;99;1.39
1;100;15.79
1;102;51.86
1;110;74.88
1;111;9.42
1;115;16.63
1;117;42.55
1;119;98.03
1;120;69.72
1;123;41.63
1;124;61.68
1;125;38.99
1;126;60.52
1;127;50.70
1;132;43.74
1;135;51.75
1;136;97.87
1;138;33.74
1;144;12.55
1;146;20.23
1;150;85.88
1;155;96.46
1;158;91.40
1;163;66.55
1;165;97.29
1;166;65.58
1;168;86.54
1;177;53.75
1;179;63.77
1;180;8.26
1;187;90.40
1;193;40.79
1;202;46.56
1;206;62.08
1;210;18.30
1;212;29.91
1;217;3.38
1;218;57.44
1;219;65.76
1;222;59.10
1;228;78.11
1;229;67.50
1;231;33.76
1;239;67.68
1;243;50.92
1;244;3.00
1;251;56.67
1;252;11.69
1;253;76.11
1;256;70.09
1;261;99.51
1;264;23.92
1;267;21.82
1;270;4.56
1;271;81.22
1;273;44.96
1;275;28.00
1;278;90.33
1;280;14.32
1;281;5.05
1;282;43.05
1;292;25.15
1;298;74.64
1;302;98.46
1;303;5.62
1;304;32.45
1;306;69.65
1;307;9.03
1;308;35.25
1;309;58.32
1;310;14.63
1;314;68.10
1;315;42.27
1;317;4.65
1;318;7.43
1;319;92.20
1;333;33.37
1;334;22.25
1;340;28.99
1;352;89.07
1;353;85.62
1;356;22.65
1;358;43.18
1;362;65.81
1;363;66.46
1;367;20.26
1;368;53.72
1;369;95.57
1;372;66.15
1;374;16.82
1;377;16.17
1;378;67.73
1;380;92.86
1;386;9.50
1;387;87.80
1;392;88.18
1;394;2.11
1;395;17.00
1;397;2.66
1;398;92.77
1;400;76.55
1;411;21.98
1;412;89.00
1;417;1.54
1;420;22.62
1;425;55.79
1;431;89.86
1;434;96.50
1;439;12.74
1;442;77.64
1;443;32.72
1;446;27.12
1;451;40.89
1;455;47.55
1;457;12.84
1;459;75.49
1;463;9.72
1;467;37.84
1;482;6.89
1;483;24.26
1;484;13.62
1;486;9.24
1;491;76.56
1;494;60.77
1;497;63.04
1;498;37.35
1;499;11.74
2;3;12.44
2;7;74.46
2;11;89.62
2;12;20.73
2;21;25.21
2;28;23.71
2;31;47.38
2;34;26.00
2;36;72.70
2;44;80.71
2;46;27.09
2;47;24.88
2;55;56.13
2;60;38.95
2;67;62.99
2;69;41.72
2;72;70.62
2;74;74.65
2;76;97.07
2;77;69.30
2;81;40.88
2;83;85.28
2;95;38.62
2;97;99.04
2;98;22.93
2;106;57.57
2;109;5.42
2;110;35.95
2;114;28.78
2;116;20.34
2;118;95.09
2;121;18.40
2;130;65.99
2;133;39.85
2;135;6.99
2;141;3.13
2;146;27.45
2;147;10.71
2;148;44.24
2;150;16.88
2;152;67.47
2;155;52.89
2;156;59.64
2;157;99.41
2;159;16.89
2;167;97.55
2;168;41.22
2;169;52.85
2;171;91.16
2;172;40.00
2;173;61.28
2;177;81.37
2;178;92.11
2;183;35.53
2;192;94.26
2;196;62.84
2;198;1.07
2;204;94.62
2;205;39.03
2;210;55.26
2;217;69.49
2;218;85.05
2;222;37.37
2;223;25.16
2;224;5.27
2;225;62.61
2;232;27.58
2;233;54.74
2;235;33.88
2;237;2.17
2;244;23.45
2;245;20.51
2;246;1.67
2;250;70.72
2;252;92.23
2;253;92.06
2;255;15.56
2;259;35.95
2;262;86.69
2;271;20.53
2;275;35.82
2;276;73.96
2;279;55.49
2;280;47.94
2;284;54.37
2;287;66.20
2;293;68.92
2;295;52.62
2;298;83.28
2;302;6.27
2;304;56.01
2;305;39.51
2;308;49.62
2;309;62.12
2;311;34.73
2;313;43.51
2;315;75.28
2;316;78.67
2;318;41.43
2;321;76.56
2;331;85.72
2;333;62.12
2;335;72.69
2;337;47.94
2;345;50.97
2;351;19.48
2;353;62.99
2;354;7.17
2;356;99.07
2;363;60.31
2;364;23.65
2;365;19.11
2;369;51.71
2;374;56.00
2;377;63.17
2;379;23.93
2;380;8.60
2;383;92.65
2;385;10.50
2;386;55.92
2;387;91.68
2;388;59.71
2;389;93.58
2;391;31.92
2;394;70.52
2;401;33.44
2;405;18.86
2;411;35.68
2;414;84.10
2;416;69.33
2;422;61.35
2;424;29.73
2;427;70.29
2;429;17.53
2;431;22.70
2;438;51.01
2;440;35.08
2;448;56.60
2;449;16.57
2;451;71.37
2;454;67.52
2;457;29.54
2;459;63.31
2;463;35.30
2;465;25.77
2;469;98.50
2;470;85.27
2;471;42.75
2;472;83.86
2;478;23.09
2;480;51.71
2;481;72.18
2;484;5.18
2;485;64.67
2;493;15.66
2;494;10.05
2;497;33.66
2;499;9.54
3;2;12.44
3;4;10.48
3;6;32.70
3;7;89.36
3;8;8.60
3;9;37.51
3;12;51.82
3;15;36.57
3;17;58.50
3;18;51.73
3;19;41.89
3;21;49.61
3;23;54.42
3;29;94.46
3;30;48.00
3;35;1.34
3;41;21.34
3;47;74.80
3;49;98.58
3;54;64.68
3;58;72.09
3;60;81.66
3;61;71.81
3;68;68.41
3;73;70.39
3;77;32.04
3;79;96.57
3;82;10.59
3;89;25.10
3;91;83.74
3;95;84.81
3;96;90.42
3;101;12.23
3;119;37.43
3;124;31.83
3;129;64.65
3;137;63.39
3;139;88.16
3;147;63.71
3;153;85.61
3;159;26.12
3;163;76.44
3;165;40.68
3;174;88.77
3;175;76.95
3;179;55.75
3;181;25.21
3;185;36.54
3;189;76.75
3;194;75.75
3;198;83.91
3;206;49.07
3;207;59.74
3;208;44.29
3;209;25.77
3;212;94.92
3;217;15.36
3;230;43.36
3;231;82.37
3;240;9.08
3;243;11.83
3;244;10.31
3;246;56.39
3;248;5.51
3;252;38.87
3;259;58.51
3;261;70.32
3;262;61.34
3;263;89.74
3;267;23.75
3;280;1.80
3;282;40.55
3;283;65.35
3;290;4.89
3;294;99.00
3;295;4.01
3;296;94.84
3;300;46.18
3;302;17.74
3;305;79.82
3;308;22.95
3;310;81.01
3;312;99.54
3;315;25.08
3;318;64.81
3;325;9.10
3;333;99.96
3;335;42.15
3;336;40.23
3;338;46.35
3;340;65.53
3;341;83.74
3;343;31.96
3;348;91.17
3;351;57.41
3;355;6.53
3;356;6.71
3;357;90.45
3;358;11.71
3;362;9.10
3;363;93.25
3;366;38.28
3;367;66.61
3;373;29.80
3;377;20.75
3;386;56.71
3;394;44.82
3;403;61.86
3;409;62.93
3;410;96.74
3;411;16.32
3;417;24.63
3;420;2.39
3;422;73.39
3;425;86.31
3;427;51.43
3;428;34.03
3;432;41.73
3;436;60.46
3;438;48.35
3;439;6.38
3;444;38.57
3;447;33.11
3;450;21.38
3;451;14.53
3;454;4.35
3;465;65.37
3;468;62.15
3;482;14.04
3;483;85.48
3;485;2.36
3;487;21.48
3;490;56.73
3;497;78.80
4;3;10.48
4;7;47.45
4;8;72.42
4;10;11.72
4;18;38.38
4;26;88.55
4;32;47.50
4;33;15.29
4;34;16.50
4;38;83.04
4;39;38.72
4;40;13.53
4;54;8.03
4;56;49.28
4;57;71.32
4;64;91.17
4;65;25.53
4;70;18.50
4;73;28.84
4;74;4.81
4;76;76.83
4;78;74.89
4;80;37.49
4;83;38.01
4;85;2.25
4;90;63.27
4;91;40.48
4;92;19.87
4;100;70.64
4;104;85.31
4;105;63.62
4;107;73.41
4;108;17.87
4;109;68.24
4;113;41.85
4;116;22.58
4;125;71.53
4;128;18.07
4;135;15.09
4;136;69.92
4;138;96.49
4;139;57.31
4;142;80.15
4;144;4.05
4;150;35.79
4;154;9.11
4;156;43.42
4;159;23.41
4;160;8.78
4;161;77.50
4;164;25.92
4;165;93.74
4;171;98.95
4;178;37.63
4;179;28.22
4;187;73.16
4;190;21.83
4;192;46.75
4;193;9.57
4;194;83.58
4;200;78.45
4;201;12.24
4;211;26.28
4;223;89.24
4;228;4.95
4;232;78.21
4;233;44.30
4;235;27.33
4;239;16.62
4;244;20.22
4;245;54.73
4;248;73.73
4;255;53.44
4;256;73.38
4;261;52.85
4;262;79.34
4;266;63.74
4;276;27.88
4;278;61.18
4;279;84.37
4;282;5.74
4;287;56.61
4;290;79.14
4;293;85.54
4;294;7.81
4;296;91.12
4;297;67.89
4;305;34.10
4;310;47.08
4;311;89.78
4;313;87.85
4;315;47.21
4;317;11.88
4;321;44.58
4;326;14.71
4;332;75.98
4;333;74.26
4;337;8.74
4;343;16.70
4;345;44.80
4;350;71.98
4;352;44.79
4;356;87.43
4;358;87.88
4;360;26.06
4;361;88.12
4;370;51.43
4;380;53.05
4;386;93.32
4;387;47.57
4;389;91.97
4;390;70.03
4;393;1.74
4;394;12.33
4;395;98.82
4;398;68.09
4;408;52.86
4;410;87.03
4;415;42.61
4;416;61.10
4;418;55.84
4;419;51.59
4;422;50.75
4;423;58.28
4;427;95.14
4;430;36.10
4;433;26.58
4;436;29.83
4;437;81.96
4;445;96.69
4;454;50.74
4;457;3.26
4;466;83.71
4;470;18.98
4;472;35.06
4;479;38.49
4;480;59.26
4;481;22.29
4;483;97.95
4;491;65.35
4;492;92.98
4;493;80.39
4;498;10.42
5;11;55.77
5;12;71.38
5;15;4.87
5;18;21.44
5;20;68.02
5;24;16.53
5;26;86.28
5;36;93.29
5;37;7.43
5;38;26.99
5;40;80.37
5;45;29.03
5;48;68.91
5;49;36.88
5;58;60.04
5;61;6.78
5;65;5.95
5;67;19.18
5;69;91.67
5;70;67.45
5;76;16.03
5;81;81.28
5;82;32.09
5;83;83.98
5;84;85.86
5;88;21.53
5;89;93.04
5;91;57.18
5;93;48.48
5;95;28.45
5;106;6.03
5;108;6.95
5;111;14.53
5;114;13.91
5;115;81.28
5;116;22.06
5;118;81.30
5;119;91.84
5;127;43.58
5;131;23.84
5;132;57.39
5;134;55.97
5;142;83.73
5;151;67.99
5;152;15.31
5;156;69.72
5;157;50.41
5;159;30.07
5;161;61.73
5;162;55.63
5;165;58.41
5;166;6.52
5;169;12.22
5;171;17.52
5;176;51.88
5;177;74.60
5;179;71.96
5;181;30.31
5;185;46.46
5;186;89.09
5;187;39.12
5;189;37.18
5;190;97.30
5;192;2.40
5;193;20.01
5;194;14.79
5;195;83.37
5;200;46.83
5;201;13.38
5;205;87.37
5;209;18.40
5;210;77.01
5;211;29.23
5;214;8.79
5;221;50.10
5;228;73.50
5;230;33.89
5;234;29.63
5;236;93.07
5;240;74.75
5;241;97.98
5;242;54.29
5;243;95.77
5;244;74.38
5;248;41.06
5;250;88.52
5;251;75.80
5;253;40.90
5;256;49.58
5;257;45.07
5;258;56.31
5;260;22.08
5;263;32.64
5;267;2.31
5;269;29.19
5;271;25.64
5;274;50.81
5;276;18.47
5;277;99.58
5;279;16.54
5;281;48.46
5;282;32.34
5;284;43.46
5;290;99.79
5;293;95.63
5;297;31.75
5;299;55.98
5;304;78.62
5;305;26.73
5;314;60.59
5;315;67.84
5;318;26.22
5;321;36.32
5;322;30.27
5;326;93.04
5;327;76.40
5;329;64.22
5;330;33.64
5;331;11.89
5;333;30.83
5;335;78.87
5;337;87.83
5;341;36.80
5;342;6.73
5;347;70.27
5;354;46.70
5;355;48.77
5;356;8.56
5;357;6.98
5;359;39.89
5;360;67.50
5;361;72.54
5;362;69.58
5;363;47.43
5;364;79.94
5;365;9.00
5;366;81.05
5;368;97.93
5;377;91.53
5;378;73.65
5;379;74.43
5;384;67.30
5;387;97.56
5;388;63.47
5;389;13.72
5;392;36.20
5;395;76.97
5;396;89.52
5;397;54.92
5;398;54.39
5;416;52.55
5;418;78.13
5;421;85.35
5;424;69.50
5;437;3.60
5;440;18.74
5;443;29.06
5;446;66.44
5;447;99.33
5;449;17.51
5;451;90.10
5;453;52.60
5;470;66.72
5;481;34.68
5;487;4.86
5;488;2.98
5;491;65.08
5;493;66.15
6;0;78.37
6;3;32.70
6;8;57.67
6;9;57.49
6;12;6.54
6;13;90.82
6;19;95.18
6;26;35.15
6;28;4.89
6;29;38.58
6;30;19.39
6;32;29.51
6;41;19.30
6;49;71.87
6;50;77.70
6;52;76.05
6;53;6.31
6;59;88.23
6;62;31.35
6;63;99.19
6;66;17.50
6;72;88.18
6;75;74.43
6;76;55.02
6;79;66.83
6;80;66.45
6;82;28.03
6;84;57.16
6;92;1.86
6;93;17.36
6;97;4.12
6;108;62.09
6;112;86.53
6;116;27.51
6;118;90.36
6;119;88.56
6;120;37.29
6;123;87.90
6;130;10.63
6;136;26.01
6;143;62.22
6;145;80.88
6;151;95.60
6;152;8.75
6;153;84.97
6;159;81.83
6;161;25.92
6;163;26.27
6;166;30.50
6;167;24.02
6;170;87.20
6;175;4.68
6;182;85.39
6;186;7.20
6;189;75.86
6;192;36.92
6;193;1.07
6;201;3.34
6;205;68.17
6;213;56.55
6;215;77.86
6;222;25.23
6;224;45.28
6;225;54.71
6;227;79.39
6;229;31.73
6;231;31.24
6;233;51.18
6;237;2.35
6;243;79.57
6;244;40.52
6;249;12.03
6;261;62.91
6;262;86.72
6;266;36.55
6;268;42.50
6;270;16.86
6;275;23.35
6;276;34.07
6;281;83.86
6;283;95.56
6;289;77.72
6;292;69.29
6;298;21.35
6;301;96.00
6;315;76.17
6;317;69.85
6;318;31.97
6;320;6.25
6;325;99.52
6;330;41.19
6;331;38.95
6;337;57.14
6;343;68.41
6;344;84.36
6;347;69.00
6;348;20.77
6;353;46.57
6;357;32.76
6;366;82.49
6;368;64.44
6;371;3.99
6;374;20.57
6;376;24.12
6;379;60.62
6;391;8.85
6;392;93.71
6;397;18.19
6;401;8.62
6;404;27.78
6;418;54.48
6;419;55.03
6;420;77.90
6;426;16.06
6;435;90.63
6;439;75.88
6;440;25.05
6;442;28.83
6;455;79.90
6;456;7.22
6;461;10.93
6;474;65.40
6;479;97.52
6;481;36.31
6;484;90.15
6;486;73.80
6;490;41.82
6;493;19.93
6;495;48.66
6;498;32.89
6;499;70.27
7;1;97.26
7;2;74.46
7;3;89.36
7;4;47.45
7;8;12.83
7;12;53.18
7;21;68.46
7;23;58.94
7;26;69.74
7;27;33.62
7;31;42.49
7;32;75.14
7;33;62.58
7;35;86.12
7;44;61.46
7;55;48.93
7;60;57.45
7;61;97.51
7;63;60.01
7;65;26.51
7;66;21.22
7;67;76.62
7;69;76.10
7;74;55.55
7;75;30.16
7;76;84.85
7;78;98.55
7;84;86.59
7;85;51.99
7;88;37.60
7;95;30.47
7;98;38.11
7;105;85.43
7;112;9.85
7;115;10.89
7;124;85.41
7;134;36.48
7;140;75.42
7;141;95.66
7;146;54.72
7;160;22.18
7;161;81.68
7;165;18.70
7;170;24.44
7;173;53.21
7;175;12.94
7;177;94.61
7;182;16.01
7;186;30.55
7;187;7.21
7;191;38.44
7;193;91.14
7;195;45.92
7;196;12.17
7;197;49.82
7;202;31.06
7;203;74.81
7;205;18.66
7;217;26.12
7;229;13.03
7;232;66.65
7;233;98.27
7;237;24.79
7;248;11.20
7;249;76.60
7;251;37.95
7;252;2.79
7;257;30.08
7;258;44.96
7;259;35.08
7;261;16.88
7;262;67.00
7;268;11.65
7;271;52.37
7;273;25.43
7;276;28.97
7;278;93.23
7;280;85.65
7;282;13.57
7;286;8.52
7;288;68.46
7;294;43.57
7;296;72.02
7;297;59.43
7;298;85.08
7;299;99.09
7;301;29.34
7;309;56.50
7;310;48.88
7;315;24.60
7;316;40.80
7;317;41.71
7;321;2.45
7;322;2.11
7;325;66.27
7;330;34.12
7;334;83.00
7;335;17.73
7;338;36.97
7;339;66.94
7;342;95.83
7;346;80.57
7;350;94.09
7;353;24.16
7;354;30.10
7;357;53.41
7;359;53.39
7;361;45.87
7;366;78.42
7;367;34.87
7;369;14.99
7;375;76.74
7;376;5.16
7;378;3.89
7;379;71.71
7;387;36.97
7;391;23.08
7;396;70.54
7;397;1.25
7;399;45.21
7;412;94.99
7;414;99.91
7;415;25.69
7;422;69.28
7;424;13.43
7;427;70.05
7;428;61.54
7;429;89.29
7;430;56.33
7;435;47.63
7;437;87.69
7;438;71.50
7;440;82.98
7;444;78.48
7;448;86.29
7;450;30.94
7;454;25.68
7;457;4.83
7;461;92.33
7;467;71.28
7;470;48.25
7;472;62.52
7;473;71.46
7;475;13.97
7;477;10.36
7;479;95.02
7;480;88.29
7;483;12.92
7;485;38.12
7;488;89.80
7;489;51.74
7;493;37.57
7;497;67.84
8;0;19.86
8;3;8.60
8;4;72.42
8;6;57.67
8;7;12.83
8;20;99.64
8;24;74.69
8;29;31.16
8;30;10.73
8;33;14.05
8;36;87.11
8;46;2.55
8;55;47.38
8;57;73.77
8;59;13.04
8;64;48.10
8;68;96.56
8;69;1.39
8;78;87.53
8;79;66.52
8;82;89.29
8;83;81.79
8;85;58.96
8;93;50.44
8;94;18.85
8;98;53.91
8;99;33.35
8;101;8.75
8;103;29.16
8;111;21.05
8;112;24.76
8;114;42.42
8;115;73.79
8;118;76.70
8;120;83.45
8;121;20.89
8;122;83.09
8;123;59.73
8;126;53.80
8;127;18.20
8;130;46.59
8;133;82.39
8;135;70.88
8;137;77.59
8;138;87.79
8;140;50.56
8;141;29.55
8;146;33.18
8;148;93.48
8;151;28.70
8;152;72.78
8;157;93.79
8;160;55.26
8;167;73.30
8;169;92.26
8;170;98.94
8;172;1.09
8;174;29.85
8;175;42.65
8;177;77.44
8;181;63.04
8;183;94.33
8;195;61.04
8;200;75.79
8;201;10.70
8;203;97.94
8;204;41.53
8;206;35.61
8;208;53.15
8;209;26.32
8;210;36.06
8;214;95.72
8;221;84.28
8;222;75.06
8;225;18.68
8;229;92.81
8;232;28.43
8;234;51.38
8;235;30.25
8;241;79.20
8;248;50.78
8;256;94.66
8;271;41.61
8;275;6.95
8;291;52.22
8;292;90.53
8;294;24.05
8;295;97.03
8;305;43.81
8;307;16.70
8;314;81.12
8;316;49.58
8;321;49.83
8;322;80.61
8;326;27.56
8;328;62.18
8;329;45.75
8;331;88.19
8;332;68.63
8;336;85.96
8;341;79.48
8;342;37.02
8;343;42.91
8;345;87.71
8;350;48.71
8;360;54.79
8;361;87.99
8;363;73.20
8;364;9.43
8;365;12.89
8;366;14.27
8;367;3.90
8;372;57.17
8;377;99.86
8;384;45.80
8;386;14.63
8;387;23.20
8;388;90.86
8;390;92.11
8;391;31.95
8;392;43.34
8;397;95.84
8;401;43.59
8;406;4.19
8;410;28.31
8;421;83.76
8;422;60.36
8;423;99.82
8;427;40.92
8;432;12.03
8;434;75.63
8;440;11.33
8;442;78.13
8;443;92.66
8;444;96.56
8;445;16.63
8;456;25.28
8;458;15.31
8;460;20.67
8;461;86.44
8;467;74.18
8;471;65.62
8;474;78.74
8;477;30.46
8;479;54.86
8;481;23.30
8;483;44.56
8;485;80.94
8;487;25.22
8;489;76.27
8;494;83.03
8;495;45.59
8;498;13.32
9;0;41.22
9;3;37.51
9;6;57.49
9;19;94.57
9;20;74.23
9;21;26.89
9;28;70.31
9;33;37.41
9;36;1.74
9;41;55.17
9;42;39.67
9;44;49.50
9;47;98.28
9;48;14.13
9;49;60.57
9;50;12.46
9;55;21.52
9;57;20.12
9;59;53.17
9;63;99.24
9;64;95.32
9;77;86.84
9;80;54.04
9;84;69.57
9;86;17.07
9;89;87.19
9;93;16.33
9;97;75.54
9;103;85.77
9;110;59.57
9;115;95.23
9;116;58.46
9;121;58.67
9;123;64.44
9;124;16.15
9;126;60.71
9;127;41.50
9;128;87.95
9;129;53.22
9;131;89.89
9;138;65.15
9;139;18.47
9;143;74.89
9;149;37.33
9;152;54.67
9;153;36.67
9;158;94.19
9;167;63.15
9;176;42.04
9;188;8.49
9;189;22.45
9;190;82.35
9;197;7.05
9;199;77.40
9;200;87.68
9;203;61.39
9;204;27.24
9;206;95.31
9;207;96.57
9;212;79.46
9;218;84.18
9;221;94.36
9;223;71.94
9;225;4.15
9;226;46.03
9;229;61.72
9;231;88.14
9;232;62.23
9;236;87.66
9;239;34.06
9;240;26.93
9;245;72.98
9;246;30.16
9;247;29.89
9;248;29.33
9;249;99.46
9;250;11.07
9;252;68.05
9;254;53.03
9;255;39.90
9;257;15.58
9;258;6.53
9;264;61.56
9;265;80.64
9;267;53.09
9;268;58.38
9;273;30.36
9;280;92.77
9;282;10.02
9;283;91.64
9;291;62.97
9;303;99.18
9;311;53.53
9;315;23.43
9;317;34.40
9;323;29.98
9;325;58.63
9;336;18.81
9;340;91.28
9;342;23.29
9;343;2.58
9;344;50.77
9;345;13.08
9;346;20.29
9;348;42.04
9;349;95.71
9;353;48.32
9;355;33.68
9;356;51.19
9;368;71.68
9;369;83.18
9;371;92.41
9;379;77.01
9;381;81.40
9;383;27.03
9;390;98.60
9;393;91.10
9;395;24.41
9;401;66.42
9;402;59.54
9;407;80.14
9;408;5.50
9;409;44.96
9;413;63.20
9;416;74.32
9;418;14.20
9;425;23.83
9;429;18.69
9;430;76.68
9;432;8.81
9;433;5.11
9;435;50.90
9;436;69.27
9;439;43.17
9;447;31.39
9;450;67.13
9;451;48.00
9;452;30.78
9;455;25.82
9;457;86.85
9;459;80.00
9;460;77.61
9;464;74.81
9;465;14.37
9;472;22.70
9;476;2.88
9;480;82.51
9;486;95.69
9;489;71.99
9;490;86.74
9;492;26.42
9;495;20.15
9;497;50.10
10;1;16.49
10;4;11.72
10;12;19.92
10;14;48.14
10;16;88.40
10;20;2.74
10;25;51.37
10;26;70.43
10;28;33.70
10;31;18.14
10;36;91.57
10;39;79.51
10;40;8.93
10;43;74.49
10;44;35.01
10;45;16.50
10;53;99.61
10;54;88.87
10;57;11.62
10;61;8.40
10;63;83.65
10;65;77.74
10;77;22.16
10;78;51.82
10;79;31.26
10;82;86.09
10;84;76.58
10;86;30.88
10;88;83.41
10;93;28.88
10;94;22.25
10;97;46.41
10;98;18.23
10;100;81.70
10;104;7.32
10;107;15.24
10;111;8.63
10;115;39.26
10;123;66.19
10;130;12.93
10;133;6.33
10;136;38.30
10;138;26.29
10;140;38.27
10;141;59.57
10;146;54.85
10;148;52.89
10;150;61.40
10;153;42.85
10;154;30.10
10;157;11.84
10;158;34.81
10;165;25.95
10;170;99.47
10;173;50.39
10;177;13.29
10;178;72.21
10;179;81.53
10;180;25.03
10;181;81.50
10;188;8.39
10;194;52.62
10;200;70.26
10;201;50.63
10;205;25.92
10;208;48.51
10;211;10.88
10;212;78.67
10;216;76.81
10;218;36.68
10;219;32.96
10;221;96.09
10;222;71.76
10;228;96.07
10;229;6.42
10;236;91.79
10;238;95.79
10;241;3.31
10;242;9.36
10;244;60.69
10;245;54.09
10;246;74.38
10;251;85.66
10;260;5.50
10;261;72.14
10;262;13.67
10;263;55.76
10;265;56.10
10;268;82.94
10;271;51.59
10;276;52.62
10;282;49.77
10;284;72.17
10;288;97.10
10;290;29.90
10;293;17.91
10;307;53.73
10;308;47.61
10;312;92.34
10;314;80.72
10;318;45.94
10;323;42.44
10;330;5.16
10;334;17.86
10;339;73.66
10;340;16.65
10;345;68.99
10;350;13.16
10;355;32.65
10;356;86.55
10;357;40.16
10;360;40.97
10;361;6.63
10;364;67.73
10;366;51.64
10;370;2.81
10;371;44.67
10;375;50.72
10;376;18.50
10;377;27.43
10;389;14.40
10;391;7.47
10;393;80.83
10;396;82.92
10;400;53.55
10;401;3.47
10;406;42.13
10;409;65.47
10;410;17.14
10;412;89.45
10;413;13.18
10;414;4.36
10;420;52.24
10;421;24.50
10;422;84.14
10;424;43.63
10;430;42.98
10;439;4.07
10;441;76.56
10;444;6.26
10;447;53.55
10;454;97.32
10;458;28.34
10;459;58.40
10;460;8.52
10;461;71.29
10;462;75.31
10;466;70.18
10;473;47.32
10;475;90.06
10;476;55.90
10;484;10.71
10;487;58.10
10;488;73.42
10;491;24.21
10;492;36.42
10;494;89.39
11;2;89.62
11;5;55.77
11;12;29.18
11;17;91.95
11;19;67.60
11;21;8.70
11;26;24.03
11;27;81.52
11;29;78.92
11;31;12.07
11;33;4.30
11;37;99.48
11;38;20.46
11;39;5.95
11;41;54.80
11;43;57.93
11;47;63.91
11;52;65.00
11;56;1.78
11;58;10.04
11;59;41.55
11;60;9.26
11;61;37.82
11;66;14.64
11;69;61.84
11;74;51.59
11;79;48.68
11;86;5.36
11;88;96.20
11;91;49.91
11;96;87.46
11;98;65.96
11;100;26.82
11;103;83.00
11;104;11.42
11;110;23.56
11;111;21.23
11;112;19.88
11;114;50.19
11;116;41.39
11;122;2.74
11;124;68.46
11;129;52.94
11;132;82.21
11;134;86.25
11;137;50.33
11;143;8.81
11;144;98.04
11;150;40.67
11;156;36.13
11;158;81.42
11;160;5.71
11;164;19.22
11;167;51.20
11;173;26.85
11;174;87.20
11;175;96.00
11;181;3.09
11;182;84.44
11;187;14.58
11;190;22.08
11;191;21.23
11;198;90.46
11;199;80.59
11;209;88.38
11;212;54.86
11;213;45.72
11;215;49.66
11;217;74.24
11;218;21.25
11;223;83.54
11;227;41.57
11;245;87.01
11;246;82.17
11;255;1.20
11;261;79.90
11;262;91.85
11;264;55.91
11;265;62.73
11;267;23.32
11;272;96.43
11;275;98.83
11;277;5.10
11;279;90.39
11;280;67.21
11;281;42.29
11;283;64.19
11;286;69.94
11;288;83.60
11;289;11.38
11;297;36.75
11;299;31.62
11;304;5.45
11;307;16.05
11;313;54.61
11;318;40.30
11;320;26.70
11;322;49.83
11;324;15.27
11;325;75.47
11;328;24.69
11;330;25.01
