1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
37;22;24;25;33;34;36;38;39;41;47;57;64;65;66;87
38;18;21;26;31;33;35;37;39;40;41;42;48;56;61;62
39;17;18;31;32;33;36;37;38;43;44;50;53;73;84;90
40;6;20;23;28;31;32;36;38;42;46;48;52;55;71;85
41;17;19;20;25;29;34;35;37;38;46;50;53;57;58;60
42;25;26;27;36;38;40;43;46;47;49;50;53;54;61;67
43;17;22;25;29;33;34;35;39;42;49;50;54;57;60;98
44;23;24;31;39;46;49;51;54;55;58;59;68;71;77;83
45;5;16;23;24;30;32;47;48;51;52;55;63;67;70;71
46;4;36;40;41;42;44;47;49;50;52;56;61;66;69;94
47;19;21;28;37;42;45;46;48;51;52;53;55;58;64;84
48;20;31;36;38;40;45;47;50;52;56;57;64;66;71;82
49;17;22;26;29;32;36;42;43;44;46;55;60;63;66;73
50;20;22;39;41;42;43;46;48;54;55;56;62;64;66;67
51;17;18;21;44;45;47;52;53;55;58;59;65;69;72
52;23;24;26;40;45;46;47;48;51;59;66;67;70;71;74
53;31;35;39;41;42;47;51;54;57;59;60;62;63;67;71
54;32;42;43;44;50;53;58;62;65;73;74;79;82;86;89
55;8;19;30;31;36;40;44;45;47;49;50;51;56;60;99
56;22;27;38;46;48;50;55;58;60;62;64;69;79;85
57;18;33;37;41;43;48;53;60;61;62;64;67;77;87;92
58;24;25;34;41;44;47;51;54;56;59;63;66;76;99
59;24;44;51;52;53;58;63;64;66;69;70;72;76;87;91
60;32;41;43;49;53;55;56;57;61;65;66;86;99
61;20;22;38;42;46;57;60;62;63;64;65;67;69;70;92
62;31;32;34;38;50;53;54;56;57;61;64;69;83;94
63;20;45;49;53;58;59;61;65;68;69;72;77;78;90;94
64;21;24;33;35;36;37;47;48;50;56;57;59;61;62;69
65;34;37;51;54;60;61;63;68;74;77;78;79;83;86;91
66;37;46;48;49;50;52;58;59;60;67;77;78;89;91;92
67;36;42;45;50;52;53;57;61;66;68;69;71;72;73;76
68;44;63;65;67;69;71;72;73;76;77;81;87;92;93;96
69;30;34;46;51;56;59;61;62;63;64;67;68;77;80
70;34;45;52;59;61;71;72;74;76;77;81;85;86;88
71;40;44;45;48;52;53;67;68;70;73;75;77;83;85
72;30;51;59;63;67;68;70;73;75;78;84;87;88;93;100
73;39;49;54;67;68;71;72;75;78;83;86;89;99
74;52;54;65;70;75;77;79;81;83;85;87;88;90;95
75;35;71;72;73;74;77;78;79;82;89;91;94;99;100
76;21;58;59;67;68;70;77;78;80;84;85;91;94
77;28;44;57;63;65;66;68;69;70;71;74;75;76;87;89
78;63;65;66;72;73;75;76;80;82;85;87;89;95
79;54;56;65;74;75;81;83;84;87;92;97;98;100
80;69;76;78;81;83;84;86;88;89;91;94;95;96
81;68;70;74;79;80;82;83;84;85;86;90;93;98
82;48;54;75;78;81;83;85;86;88;90;91;93;94
83;20;44;62;65;71;73;74;79;80;81;82;90;91
84;39;47;72;76;79;80;81;87;88;90;91;97
85;40;56;70;71;74;76;78;81;82;86;88;90;94
86;28;54;60;65;70;73;80;81;82;85;88;90;93;94
87;31;37;57;59;68;72;74;77;78;79;84
88;70;72;74;80;82;84;85;86;91;92;94;95;97
89;54;66;73;75;77;78;80;94;96;98;100
90;39;63;74;81;82;83;84;85;86;97;99
91;59;65;66;75;76;80;82;83;84;88;92;95;97
92;57;61;66;68;79;88;91;97;99;100
93;68;72;81;82;86;94;95;99;100
94;46;62;63;75;76;80;82;85;86;88;89;93;97
95;74;78;80;88;91;93;96;97;98
96;68;80;89;95;97;98
97;79;84;88;90;91;92;94;95;96
98;43;79;81;89;95;96
99;55;58;60;73;75;90;92;93;100
100;72;75;79;89;92;93;99
