1;56
314;322;352
315;239;271
316;310;260
317;330;334
318;354;283
319;340;338
320;338;361
321;290;354
322;297;314
323;309;328
324;306;329
325;331;306
326;283;331
327;378;430
328;323;304
329;324;272
330;352;317
331;326;325
332;280;267
333;344;370
334;317;340
335;394;345
336;361;416
337;374;420
338;319;320
339;360;394
340;334;319
341;356;347
342;363;391
343;350;346
344;369;333
345;335;381
346;343;300
347;341;382
348;385;369
349;355;413
350;272;343
351;430;360
352;314;330
353;366;406
354;321;318
355;370;349
356;371;341
357;300;297
358;389;362
359;413;367
360;351;339
361;320;336
362;358;498
363;367;342
364;375;372
365;386;366
366;365;353
367;359;363
368;420;418
369;348;344
370;333;355
371;373;356
372;364;414
373;381;371
374;391;337
375;395;364
376;415;423
377;427;386
378;416;327
379;382;385
380;398;395
381;345;373
382;347;379
383;418;387
384;451;481
385;379;348
386;377;365
387;383;424
388;425;446
389;438;358
390;396;412
391;342;374
392;406;438
393;434;399
394;339;335
395;380;375
396;424;390
397;429;401
398;498;380
399;393;422
400;403;442
401;397;415
402;432;449
403;407;400
404;428;432
405;435;436
406;353;392
407;448;403
408;437;426
409;447;479;497
410;421;429
411;452;474
412;390;427
413;349;359
414;372;421
415;401;376
416;336;378
417;496
418;368;383
419;442;433
420;337;368
421;414;410
422;399;428
423;376;434
424;387;396
425;462;388
426;408;435
427;412;377
428;422;404
429;410;397
430;327;351
431;457;455
432;404;402
433;419;445
434;423;393
435;426;405
436;405;448
437;444;408
438;392;389
439;453;462
440;482;468
441;477;450
442;400;419
443;468;484;490
444;449;437
445;433;452
446;388;467
447;458;409
448;436;407
449;402;444
450;441;499
451;467;384
452;445;411
453;474;439
454;476;464
455;431;470;487
456;481;458
457;460;431
458;456;447
459;500;494
460;496;457
461;472;485
462;439;425
463;476
464;454;465
465;464;496
466;499;476
467;446;451
468;440;443
469;490
470;455;488
471;490
472;478;461;482
473;490;493
474;411;453
475;483
476;466;454;463
477;479;441
478;488;472;491
479;409;477
480;491
481;384;456
482;472;440
483;495;475
484;443
485;461;489;492
486;492
487;455
488;470;478
489;485
490;443;469;471;473
491;478;480
492;485;486;495
493;473
494;459
495;492;483;500
496;465;417;460
497;409
498;362;398
499;450;466
500;495;459
